Survived,Sex
no,male
yes,female
yes,female
yes,female
no,male
no,male
no,male
no,male
yes,female
yes,female
yes,female
yes,female
no,male
no,male
no,female
yes,female
no,male
yes,male
no,female
yes,female
no,male
yes,male
yes,female
yes,male
no,female
yes,female
no,male
no,male
yes,female
no,male
no,male
yes,female
yes,female
no,male
no,male
no,male
yes,male
no,male
no,female
yes,female
no,female
no,female
yes,female
yes,female
no,male
no,male
yes,female
no,male
no,female
no,male
no,male
yes,female
yes,female
no,male
yes,male
yes,female
no,male
yes,female
no,male
no,male
yes,female
no,male
no,male
no,male
yes,male
yes,female
no,male
yes,female
no,male
no,male
no,female
no,male
no,male
yes,male
no,male
no,male
no,male
yes,male
yes,female
no,male
yes,male
yes,female
no,male
yes,female
yes,female
no,male
no,male
yes,female
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
yes,male
yes,female
no,male
no,female
no,male
no,male
no,male
no,male
no,male
yes,female
yes,male
no,male
yes,female
no,male
no,female
no,male
no,female
no,female
no,male
no,male
no,male
no,male
no,female
no,male
no,male
no,male
yes,female
no,male
yes,male
no,male
yes,male
yes,female
no,male
no,male
no,male
no,female
yes,female
no,male
no,male
yes,female
no,male
no,male
no,male
no,female
yes,female
yes,female
no,male
no,male
no,male
yes,male
no,female
no,male
no,male
no,male
yes,female
no,male
no,male
no,male
no,male
yes,female
no,male
no,male
no,male
no,male
yes,female
no,male
no,male
no,male
yes,male
yes,female
no,female
no,male
no,male
no,male
no,male
yes,female
no,male
no,male
no,male
no,male
no,female
no,male
no,male
no,female
no,male
no,male
yes,male
yes,female
no,male
yes,female
yes,male
no,male
no,male
yes,female
no,male
yes,female
yes,male
yes,female
yes,female
no,male
no,male
yes,female
no,female
no,male
no,male
no,male
no,male
yes,male
no,female
no,male
yes,male
yes,female
yes,male
no,male
yes,female
no,male
no,male
no,male
yes,female
yes,female
no,male
yes,female
no,male
yes,male
no,male
no,male
no,male
yes,male
no,male
yes,male
no,male
no,male
no,female
yes,female
no,male
no,male
yes,female
no,male
no,female
no,male
yes,female
no,male
no,male
no,female
yes,female
no,male
no,male
no,male
no,male
no,female
yes,female
yes,male
no,male
no,male
no,female
no,male
no,male
no,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,male
no,male
no,male
no,female
no,male
no,male
yes,male
yes,female
yes,female
no,male
yes,male
yes,female
no,male
yes,female
yes,female
no,female
no,male
no,male
yes,female
no,male
no,male
no,male
yes,male
no,male
no,male
yes,male
no,male
yes,male
yes,female
yes,female
yes,female
no,male
no,female
no,male
no,male
no,male
no,female
yes,male
yes,female
yes,female
yes,male
no,male
yes,female
no,male
yes,male
yes,female
yes,female
no,male
yes,female
yes,female
yes,female
no,female
no,male
no,male
yes,female
yes,female
no,male
yes,female
yes,female
no,male
no,male
yes,female
yes,female
no,male
yes,female
no,male
yes,female
yes,female
yes,female
yes,female
no,male
no,male
no,male
yes,female
no,male
no,male
yes,female
yes,male
no,male
yes,male
yes,female
no,male
no,male
no,male
yes,female
yes,female
yes,female
yes,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
yes,female
no,female
yes,female
yes,female
no,male
no,male
no,female
no,male
no,male
no,male
yes,female
yes,female
yes,female
yes,female
yes,male
no,male
no,male
no,male
no,female
yes,female
yes,female
no,male
no,male
no,male
yes,female
yes,female
no,male
yes,female
no,male
no,male
no,male
yes,female
no,male
yes,female
yes,male
yes,male
no,male
yes,female
yes,female
no,male
no,female
no,male
no,male
yes,female
yes,male
no,male
no,female
no,male
no,female
no,male
no,male
yes,male
no,male
no,female
no,male
no,male
yes,female
no,male
yes,male
no,female
yes,female
yes,female
no,male
no,female
no,male
no,male
no,female
no,male
no,male
yes,female
yes,female
no,male
yes,male
yes,male
yes,female
yes,female
no,male
no,male
yes,female
no,female
yes,female
no,male
no,male
yes,female
no,male
no,male
yes,female
yes,male
yes,male
yes,female
yes,male
yes,female
yes,male
no,male
no,male
no,male
yes,male
no,male
yes,male
no,male
yes,female
yes,female
no,male
yes,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
yes,female
no,male
no,male
yes,female
yes,female
no,female
no,male
no,male
no,male
no,male
yes,female
no,male
no,male
no,male
yes,female
yes,male
no,female
yes,female
no,male
no,male
yes,male
no,male
no,male
no,male
no,male
no,male
no,male
yes,female
no,male
no,female
no,male
no,male
no,female
no,female
no,female
yes,female
no,male
yes,female
yes,male
no,male
yes,male
yes,male
no,male
yes,male
yes,female
no,male
no,male
yes,female
no,male
yes,female
no,male
yes,female
no,male
no,male
yes,female
no,male
no,male
yes,female
no,male
no,male
no,male
yes,female
no,male
no,male
yes,female
no,female
yes,female
no,male
yes,female
no,male
yes,female
yes,female
no,female
no,female
yes,male
no,male
no,male
yes,female
yes,male
no,male
yes,male
yes,male
no,male
no,male
yes,male
yes,female
no,male
yes,female
no,male
yes,female
yes,female
no,male
no,male
no,male
no,male
no,female
no,male
no,male
no,female
no,male
yes,male
yes,male
yes,female
yes,male
yes,female
no,male
no,male
yes,female
yes,female
no,female
yes,male
yes,female
yes,female
no,male
no,male
no,male
yes,female
no,male
yes,male
no,male
no,male
no,male
yes,female
no,male
no,female
no,male
no,male
yes,female
no,male
no,male
yes,male
yes,female
no,male
no,male
no,male
yes,male
no,male
no,male
yes,male
yes,female
yes,female
no,female
no,male
yes,female
no,male
no,male
yes,female
no,male
no,female
yes,female
no,male
no,male
yes,male
yes,male
no,male
no,male
no,male
no,male
yes,female
no,male
no,male
yes,male
no,male
yes,male
no,male
no,female
yes,female
no,male
no,male
no,female
no,male
no,male
yes,female
no,female
yes,male
yes,female
yes,male
no,male
yes,male
no,male
yes,female
no,male
yes,female
no,male
yes,female
no,female
no,male
no,male
